city_name,country_code,random_latitude,random_longitude,latitude,longitude,Temperature,Humidity,Cloudiness,Wind_speed
albany,au,-77.22000000000254,99.40000000014294,-35.02,117.88,19.04,67,80,6.17
castro,cl,-55.38000000000689,-102.65999999996043,-42.48,-73.76,8.49,88,88,2.02
kangaatsiaq,gl,67.85999999996858,-52.97999999993502,68.31,-53.46,-6.01,96,56,1.57
atyrau,kz,47.639999999972616,50.50000000011792,47.1,51.92,14,71,40,6
necochea,ar,-49.54000000000805,-54.519999999935806,-38.55,-58.74,17.04,93,92,6.47
camacha,pt,38.219999999974505,-17.259999999916744,33.08,-16.33,16,67,40,9.8
ushuaia,ar,-73.04000000000337,-66.71999999994205,-54.81,-68.31,-0.21,100,0,4.32
hermanus,za,-67.26000000000452,-1.2599999999085583,-34.42,19.24,9.84,88,24,1.67
kapaa,us,38.89999999997434,-160.2399999999899,22.08,-159.32,23,88,75,6.7
new norfolk,au,-47.36000000000848,142.580000000165,-42.78,147.06,17,55,40,5.7
george,za,-34.46000000001105,21.700000000103188,-33.96,22.46,14,71,0,3.1
sorong,id,0.019999999982090344,129.54000000015833,-0.86,131.25,28.49,100,8,4.87
mount gambier,au,-47.94000000000837,131.28000000015925,-37.83,140.78,24.94,53,0,2.07
elizabeth city,us,35.79999999997497,-76.35999999994698,36.3,-76.22,10.69,81,1,3.1
bambanglipuro,id,-15.980000000014726,109.10000000014793,-7.95,110.28,28.59,83,88,3.77
butaritari,ki,2.559999999981585,170.42000000017924,3.07,172.79,28.74,99,32,5.97
busselton,au,-71.16000000000375,85.56000000013586,-33.64,115.35,18.84,100,80,5.37
bowen,au,-18.340000000014257,149.44000000016854,-20.01,148.25,27,65,0,6.7
kaitangata,nz,-71.72000000000364,176.80000000018254,-46.28,169.85,14.44,61,0,7.92
te anau,nz,-41.18000000000971,162.00000000017496,-45.41,167.72,9.54,80,92,3.77
hilo,us,13.159999999979476,-157.81999999998865,19.71,-155.08,24,69,75,2.1
mahenge,tz,-8.480000000016219,37.5600000001113,-8.68,36.72,21.99,98,76,1.57
hobart,au,-43.62000000000923,152.02000000016983,-42.88,147.33,17,55,40,5.7
kahului,us,37.6599999999746,-149.03999999998416,20.89,-156.47,22.34,73,40,7.2
tanete,id,-6.180000000016676,121.04000000015401,-3.94,119.78,28.59,83,44,4.22
rikitea,pf,-49.520000000008054,-115.8999999999672,-23.12,-134.97,25.04,100,44,3.12
colares,pt,38.73999999997437,-13.959999999915055,38.8,-9.45,13.51,100,0,2.1
dikson,ru,88.61999999996448,76.22000000013111,73.51,80.55,-9.36,97,68,8.52
ust-maya,ru,61.139999999969916,133.46000000016033,60.42,134.54,6.34,43,0,2.12
bredasdorp,za,-43.32000000000929,22.360000000103526,-34.53,20.04,10,87,24,1
afsin,tr,38.51999999997443,36.52000000011077,38.25,36.91,10.54,64,0,2.92
ponta do sol,cv,15.859999999978939,-36.63999999992666,17.2,-25.09,20.99,100,56,8.42
alofi,nu,-16.200000000014683,-168.4799999999941,-19.06,-169.92,27,83,92,1
ovsyanka,ru,54.33999999997127,126.50000000015677,53.58,126.91,17.54,29,56,3.92
thompson,ca,70.33999999996809,-92.6199999999553,55.74,-97.86,1,100,90,4.6
saint-philippe,re,-37.62000000001042,62.860000000124245,-21.36,55.77,26,74,0,3.1
saskylakh,ru,71.51999999996787,116.5200000001517,71.97,114.09,-10.51,93,56,2.37
sept-iles,ca,55.619999999971014,-67.95999999994268,50.2,-66.38,3,32,20,2.1
vaini,to,-73.14000000000335,-178.89999999999944,-21.2,-175.2,26,83,75,4.6
sao jose da coroa grande,br,-10.440000000015829,-31.099999999923824,-8.9,-35.15,21.74,100,88,1.62
half moon bay,us,29.199999999976285,-135.6399999999773,37.46,-122.43,16.46,59,1,2.6
igarka,ru,66.97999999996875,85.62000000013586,67.47,86.57,-10.46,95,68,7.57
portland,au,-40.10000000000993,140.22000000016385,-33.35,149.98,16.79,77,68,1.12
victoria,sc,-5.120000000016887,62.30000000012396,-4.62,55.45,28,83,75,4.1
montevideo,uy,-35.440000000010855,-56.299999999936716,-34.83,-56.17,19,100,92,2.6
hithadhoo,mv,-13.880000000015144,83.6800000001349,-0.6,73.08,29.14,100,44,3.32
luderitz,na,-34.2000000000111,-1.3399999999085992,-26.65,15.16,11.54,98,48,3.77
east london,za,-79.4600000000021,58.34000000012193,-33.02,27.91,11,71,0,1.5
antalaha,mg,-15.36000000001485,51.10000000011823,-14.9,50.28,23.19,100,92,3.42
mbengwi,cm,6.279999999980845,9.400000000096895,6,10.01,15.89,91,68,1.07
yar-sale,ru,72.67999999996763,71.52000000012868,66.83,70.83,-11.21,100,8,2.52
aswan,eg,22.959999999977526,31.24000000010807,24.09,32.9,18,31,0,2.6
zabaykalsk,ru,46.95999999997275,116.22000000015157,49.63,117.32,16.04,29,0,6.37
punta arenas,cl,-70.28000000000392,-113.75999999996611,-53.16,-70.91,2,80,40,5.7
vila velha,br,-25.52000000001283,-26.5599999999215,-3.71,-38.6,27,83,40,4.1
zuwarah,ly,32.85999999997556,12.220000000098338,32.93,12.08,17.29,90,0,3.22
upernavik,gl,72.19999999996773,-57.159999999937156,72.79,-56.15,-5.61,89,36,1.32
norman wells,ca,82.85999999996562,-118.53999999996856,65.28,-126.83,-4,49,20,2.1
bolobo,cd,-1.3800000000176311,17.140000000100855,-2.17,16.23,22.04,100,80,1.62
salta,ar,-25.380000000012856,-65.17999999994126,-24.79,-65.41,19.37,87,0,2.1
machaneng,bw,-23.580000000013214,27.280000000106043,-23.19,27.49,17.59,61,0,1.62
den helder,nl,54.31999999997129,4.64000000009446,52.96,4.76,9.68,93,20,4.1
longhua,cn,28.91999999997634,108.1200000001474,29.21,106.21,21,88,90,1
kokopo,pg,-5.5400000000168035,151.76000000016973,-4.34,152.27,28.19,100,56,3.87
cidreira,br,-57.500000000006466,-24.279999999920335,-30.17,-50.22,19.14,96,0,2.07
kavieng,pg,3.379999999981422,153.52000000017063,-2.57,150.8,28.39,100,24,0.67
jamestown,sh,-31.90000000001156,-1.8999999999088857,-15.94,-5.72,23.99,100,0,8.22
sao filipe,cv,15.619999999978987,-24.859999999920632,14.9,-24.5,20.84,100,8,7.62
ca mau,vn,9.259999999980252,104.16000000014537,9.18,105.15,27.99,99,64,1.97
tottori,jp,36.29999999997487,134.02000000016062,35.5,134.23,18.23,77,75,5.7
baykit,ru,64.77999999996922,97.00000000014171,61.68,96.39,-4.01,68,12,5.37
yuty,py,-26.740000000012586,-56.51999999993683,-26.61,-56.25,23.39,74,0,1.92
inhambane,mz,-26.540000000012625,38.26000000011166,-23.87,35.38,19,93,20,2.77
snyder,us,33.75999999997538,-100.4399999999593,32.72,-100.92,14.56,47,1,3.1
senador guiomard,br,-10.740000000015769,-67.71999999994256,-10.15,-67.74,23,88,20,1
bluff,nz,-69.34000000000411,156.68000000017224,-46.6,168.33,13.89,89,64,11.97
nikolskoye,ru,49.419999999972276,168.38000000017826,59.7,30.79,2,69,0,3
ito,jp,34.91999999997515,139.26000000016336,34.93,139.09,18,82,75,5.7
baherden,tm,39.599999999974216,57.18000000012134,38.44,57.43,15.74,90,64,1.72
cherskiy,ru,70.69999999996804,158.9200000001734,68.75,161.3,-2.51,74,24,1.52
novaya zaimka,ru,56.459999999970876,67.16000000012644,56.49,66.92,8.04,93,76,5.27
garowe,so,7.019999999980698,46.460000000115855,8.41,48.48,25.19,82,56,2.02
naze,jp,27.479999999976627,132.46000000015988,28.37,129.48,25,73,75,6.7
acapulco,mx,8.239999999980455,-101.75999999995997,16.86,-99.88,27,88,20,1.5
naryan-mar,ru,67.37999999996867,51.00000000011818,67.67,53.09,-5.11,90,20,3.72
chuy,uy,-56.98000000000657,-32.119999999924346,-33.69,-53.46,20.44,97,56,4.77
yellowknife,ca,71.69999999996782,-118.19999999996838,62.45,-114.38,-3,68,75,2.6
barrow,us,77.3999999999667,-164.99999999999233,39.51,-90.4,14.36,44,90,3.6
georgetown,sh,-18.460000000014233,-17.259999999916744,-7.93,-14.42,26.29,100,20,4.77
puerto ayora,ec,-7.660000000016382,-103.81999999996103,-0.74,-90.35,24.04,99,8,3.32
coahuayana,mx,1.3799999999818198,-111.87999999996515,18.62,-100.35,21.54,64,56,1.02
kodiak,us,49.67999999997221,-147.5399999999834,39.95,-94.76,15,47,75,3.1
arraial do cabo,br,-49.820000000007994,-21.479999999918903,-22.97,-42.02,23.14,91,68,2.42
anaconda,us,46.51999999997284,-112.63999999996554,46.13,-112.94,7,84,90,1.12
yumen,cn,37.939999999974546,97.24000000014183,40.29,97.04,13.59,61,76,3.52
gazanjyk,tm,39.49999999997425,56.080000000120776,39.24,55.52,12.14,100,92,2.67
kovrov,ru,56.47999999997086,41.50000000011332,56.37,41.31,0.49,43,0,10.17
petropavlovsk-kamchatskiy,ru,51.2399999999719,158.9800000001734,53.05,158.65,5,44,20,6
kapit,my,1.3399999999818277,112.48000000014963,2.02,112.94,29.29,74,56,1.42
mareeba,au,-17.1200000000145,141.5000000001645,-16.99,145.42,27,69,75,9.3
oktyabrskiy,ru,52.05999999997175,152.40000000017005,55.61,37.97,1.24,51,0,7
longyearbyen,sj,89.93999999996419,24.960000000104856,78.22,15.64,-9,66,75,5.1
mayo,ca,65.03999999996915,-138.09999999997856,63.59,-135.9,6,38,75,3.1
san patricio,mx,18.859999999978342,-105.01999999996164,19.22,-104.7,19.74,100,0,0.92
zyryanka,ru,66.35999999996889,152.00000000016985,65.73,150.89,3.74,59,0,1.32
razdolinsk,ru,58.399999999970476,94.48000000014042,58.42,94.62,5.19,49,0,1.52
tuktoyaktuk,ca,84.65999999996524,-125.55999999997215,69.44,-133.03,-18.82,76,5,2.6
cabatuan,ph,13.499999999979408,125.94000000015649,16.95,121.67,30.69,77,36,2.12
ugoofaaru,mv,5.019999999981096,62.20000000012391,5.67,73,29.84,100,0,3.37
gidam,in,19.27999999997826,81.12000000013359,18.98,81.4,33.99,44,0,4.32
avarua,ck,-28.240000000012287,-162.0399999999908,-21.21,-159.78,26,78,75,1.5
atuona,pf,-16.32000000001466,-139.45999999997926,-9.8,-139.03,27.39,100,88,7.07
sitka,us,48.199999999972505,-143.6199999999814,37.17,-99.65,8.04,87,0,1.42
verkhoyansk,ru,66.29999999996892,131.84000000015953,67.55,133.39,4.49,71,56,4.22
aklavik,ca,83.67999999996545,-143.8399999999815,68.22,-135.01,-15,65,20,2.1
qaanaaq,gl,84.03999999996537,-70.95999999994422,77.48,-69.36,-7.71,83,88,3.22
kruisfontein,za,-77.24000000000254,27.640000000106227,-34,24.73,14.69,90,20,2.32
iqaluit,ca,59.7999999999702,-70.99999999994424,63.75,-68.52,-10,85,75,15.4
cambridge,gb,52.39999999997167,0.2200000000921989,52.2,0.12,6.67,100,8,4.1
cape town,za,-82.26000000000154,-12.919999999914523,-33.93,18.42,15,93,75,8.7
srednekolymsk,ru,72.43999999996768,152.7400000001702,67.46,153.71,4.04,68,0,1.42
kendal,id,-6.5000000000166125,110.24000000014848,-6.92,110.2,24.99,100,56,1.32
egvekinot,ru,60.09999999997012,-179.4399999999997,66.32,-179.17,-5.86,83,0,1.97
mahebourg,mu,-33.60000000001122,69.86000000012783,-20.41,57.7,26,88,75,6.7
chulman,ru,57.07999999997074,126.26000000015665,56.84,124.9,11.14,39,36,2.77
norden,de,53.63999999997142,6.940000000095637,53.59,7.21,12,93,75,4.6
port hedland,au,-26.000000000012733,120.20000000015358,-20.31,118.58,40,16,0,5.7
salalah,om,16.739999999978764,51.08000000011822,17.01,54.1,30,70,40,0.87
camalobalo,ph,10.259999999980053,122.96000000015499,10.27,122.95,31.69,59,32,1.77
batagay-alyta,ru,65.3199999999691,130.08000000015863,67.8,130.41,3.34,84,32,4.92
yerbogachen,ru,60.919999999969974,107.9200000001473,61.28,108.01,3.39,46,24,7.87
sinjai,id,-5.720000000016768,121.22000000015407,-5.12,120.25,26.24,92,68,1.77
minjur,in,13.759999999979357,80.78000000013344,13.28,80.26,36,50,20,4.1
lebu,cl,-33.980000000011145,-92.47999999995523,-37.62,-73.65,11.74,100,0,9.17
taoudenni,ml,22.579999999977602,-1.319999999908589,22.68,-3.98,20.19,25,0,3.47
dryden,ca,50.25999999997208,-93.33999999995567,49.79,-92.84,9,61,90,3.6
kandrian,pg,-5.96000000001672,148.86000000016827,-6.21,149.55,27.14,84,92,2.87
badou,tg,7.999999999980503,0.6200000000924035,7.58,0.61,21.54,95,20,1.97
nizhnyaya tavda,ru,57.85999999997057,65.88000000012579,57.67,66.17,5.49,98,48,6.22
sydney,au,-35.62000000001082,154.30000000017105,-33.85,151.22,25.1,53,20,5.1
assen,nl,53.01999999997156,6.440000000095381,53,6.56,11.23,93,90,4.6
sitangkai,ph,4.559999999981187,119.10000000015305,4.66,119.39,29.24,100,20,0.27
ostrovnoy,ru,76.19999999996693,42.180000000113665,68.05,39.51,-7.01,89,0,1.52
pevek,ru,89.11999999996436,171.54000000017982,69.7,170.27,-4.21,73,0,2.07
mehamn,no,75.65999999996706,27.760000000106288,71.03,27.85,1,80,75,3.6
gamboula,cf,4.419999999981215,15.060000000099791,4.12,15.14,22.64,94,20,1.87
angoche,mz,-16.780000000014567,40.78000000011295,-16.23,39.91,27.14,100,92,8.02
sargatskoye,ru,55.55999999997104,73.5200000001297,55.6,73.49,5.54,100,48,3.92
otacilio costa,br,-27.400000000012454,-50.139999999933565,-27.48,-50.12,15.39,98,88,3.22
port elizabeth,za,-62.64000000000544,29.960000000107414,-33.92,25.57,17.94,100,12,2.42
tiksi,ru,87.51999999996468,122.72000000015487,71.64,128.87,-1.16,82,92,0.82
burnie,au,-43.580000000009235,142.84000000016516,-41.05,145.91,15.69,100,0,2.57
geraldton,au,-30.880000000011762,102.82000000014466,-28.77,114.6,24,47,40,5.7
souillac,mu,-53.46000000000727,75.8600000001309,-20.52,57.52,26,88,75,6.7
los llanos de aridane,es,27.479999999976627,-25.899999999921164,28.66,-17.92,18,68,88,2.6
pisco,pe,-23.480000000013234,-94.83999999995643,-13.71,-76.2,20,82,0,2.6
prince rupert,ca,47.83999999997258,-135.2599999999771,54.32,-130.32,7,81,75,4.6
carnarvon,au,-23.640000000013202,94.46000000014044,-24.87,113.63,24.94,84,24,7.07
myronivka,ua,49.779999999972176,30.980000000107935,49.66,30.98,12.79,60,0,2.47
nantucket,us,40.53999999997404,-70.7399999999441,41.28,-70.1,3.22,93,1,3.6
dehloran,ir,32.6399999999756,47.300000000116285,32.69,47.27,23.19,72,88,3.87
gobabis,na,-21.480000000013632,18.740000000101674,-22.45,18.97,11.69,53,0,2.67
beringovskiy,ru,59.159999999970324,176.54000000018243,63.05,179.32,-3.41,96,80,8.62
paamiut,gl,64.39999999996928,-49.01999999993299,61.99,-49.67,0.24,99,88,4.82
churapcha,ru,64.63999999996923,133.5200000001604,62,132.43,7.04,49,24,3.77
khatanga,ru,69.03999999996836,104.44000000014552,71.98,102.47,-13.01,86,20,7.92
coquimbo,cl,-29.400000000012056,-85.91999999995187,-29.95,-71.34,12,93,90,1
puri,in,18.599999999978394,86.36000000013627,19.8,85.85,36,56,40,2.6
huadian,cn,42.69999999997361,126.76000000015694,42.97,126.75,14.04,42,92,3.47
cabo san lucas,mx,14.719999999979166,-113.35999999996591,22.89,-109.91,22,53,40,4.17
pontian kecil,my,0.8599999999819232,103.34000000014498,1.48,103.39,28.7,70,75,1
clyde river,ca,70.29999999996812,-65.17999999994126,70.47,-68.59,-6,92,90,4.1
saint-pierre,pm,40.359999999974065,-56.69999999993692,46.77,-56.17,0.19,100,8,7.92
astoria,us,46.239999999972895,-125.83999999997229,46.19,-123.83,8,75,1,2.1
sisimiut,gl,66.15999999996893,-56.39999999993677,66.94,-53.67,-7.21,75,64,1.42
genhe,cn,50.21999999997212,122.38000000015472,50.78,121.52,13.99,37,0,5.82
klaksvik,fo,76.47999999996688,-3.11999999990951,62.23,-6.59,7,93,92,8.7
matamoros,mx,25.379999999977045,-96.7399999999574,25.53,-103.23,21.74,46,20,7.52
asyut,eg,24.0999999999773,26.040000000105408,27.18,31.19,18.94,37,0,2.12
faanui,pf,-13.280000000015264,-155.41999999998743,-16.48,-151.75,27.84,100,48,2.57
port blair,in,11.799999999979747,86.94000000013659,11.67,92.75,29.79,100,0,2.17
kovdor,ru,68.41999999996847,30.5200000001077,67.56,30.47,0.24,80,64,1.52
bosaso,so,12.43999999997962,48.72000000011701,11.28,49.18,31,58,0,7.2
port alfred,za,-60.56000000000586,40.58000000011285,-33.59,26.89,17.04,100,8,2.47
evensk,ru,61.2799999999699,159.84000000017386,61.92,159.24,1.24,83,0,2.97
mecca,sa,21.419999999977833,42.900000000114034,21.43,39.83,29,83,20,0.52
sao joao da barra,br,-29.560000000012025,-29.679999999923098,-21.64,-41.05,25.29,98,92,4.32
mogadishu,so,1.2199999999818516,45.80000000011552,2.04,45.34,28,83,0,3.02
ixtapa,mx,9.11999999998028,-106.05999999996217,20.71,-105.21,23,100,75,0.82
nome,us,65.97999999996898,-164.5599999999921,30.04,-94.42,13.74,82,1,1.5
flinders,au,-32.80000000001138,129.06000000015808,-34.58,150.85,20.54,73,20,1.52
sola,vu,-11.200000000015677,171.7000000001799,-13.88,167.55,27.89,94,88,6.02
tommot,ru,57.7599999999706,127.04000000015708,58.97,126.27,9.54,56,48,2.62
leningradskiy,ru,79.95999999996619,179.96000000018415,69.38,178.42,-9.11,86,0,7.17
channel-port aux basques,ca,47.69999999997259,-59.659999999938435,47.57,-59.14,0.24,93,0,7.02
obihiro,jp,42.47999999997364,143.4200000001655,42.92,143.2,11,55,75,5.7
altamira,br,-3.7000000000171696,-51.41999999993422,-3.2,-52.21,23.69,96,80,1.82
touros,br,0.29999999998203464,-34.599999999925615,-5.2,-35.46,23.94,100,80,3.57
fazilka,in,30.419999999976042,73.9200000001299,30.41,74.03,31.74,43,0,1.92
kavaratti,in,8.639999999980375,68.72000000012724,10.57,72.64,30.89,99,12,1.62
ribas do rio pardo,br,-20.24000000001388,-53.17999999993512,-20.45,-53.76,16.69,78,0,1.17
ponta delgada,pt,32.1399999999757,-26.27999999992136,37.73,-25.67,15,82,20,3.1
rehoboth,na,-23.480000000013234,17.920000000101254,-23.31,17.08,6.69,61,0,1.17
dakar,sn,16.879999999978736,-19.339999999917808,14.69,-17.45,19.04,96,12,6.47
gwadar,pk,24.279999999977264,62.20000000012391,25.12,62.33,28.34,69,0,1.77
fairbanks,us,62.679999999969624,-142.75999999998095,64.84,-147.72,7.7,39,1,4.1
jasidih,in,24.679999999977184,86.74000000013643,24.51,86.65,36.34,21,0,2.97
albania,co,10.959999999979914,-72.37999999994494,5.76,-73.91,16.49,95,92,1.42
natal,br,-1.6000000000175874,-25.71999999992107,-5.81,-35.21,24,88,20,1.5
sechura,pe,-10.040000000015908,-86.21999999995202,-5.56,-80.82,20.64,81,0,3.97
dunedin,nz,-51.020000000007755,173.52000000018086,-45.87,170.5,14.24,55,36,2.52
moron,mn,46.93999999997277,98.82000000014261,47.38,110.32,13.49,50,0,2.12
hit,iq,31.17999999997589,42.76000000011396,33.64,42.83,18.99,73,0,4.97
nalut,ly,30.43999999997604,10.580000000097499,31.86,10.98,14.99,46,0,1.57
jurilovca,ro,44.679999999973205,28.86000000010685,44.77,28.87,14.53,82,0,1
udachnyy,ru,66.67999999996883,112.00000000014938,66.42,112.4,3.49,96,92,3.97
vostok,ru,51.39999999997187,151.30000000016946,46.45,135.83,11.44,39,0,1.37
kirakira,sb,-12.820000000015355,162.100000000175,-10.46,161.92,27.04,100,80,5.47
balikpapan,id,-1.5400000000175993,116.8600000001519,-1.24,116.86,28.94,100,8,1.92
wagar,sd,15.919999999978927,35.280000000110135,16.15,36.2,32.49,19,0,3.32
altay,cn,46.95999999997275,90.66000000013844,47.83,88.13,11.24,53,0,1.37
atar,mr,24.13999999997729,-10.339999999913204,20.52,-13.05,15.64,23,0,1.47
fukue,jp,31.07999999997591,127.10000000015714,35.03,136.69,24.19,56,75,9.3
zakamensk,ru,50.719999999972,102.70000000014466,50.38,103.29,14.69,54,0,2.12
cherepovets,ru,59.43999999997027,38.10000000011158,59.13,37.92,0.79,67,0,5.67
kaeo,nz,-32.66000000001141,174.8000000001815,-35.1,173.78,16.99,65,76,1.42
ballina,au,-31.980000000011543,162.06000000017502,-28.87,153.57,21.44,100,80,7.12
san jeronimo,mx,13.259999999979456,-102.43999999996032,29.37,-110.79,24,19,5,3.1
roebourne,au,-22.70000000001339,118.54000000015276,-20.77,117.15,38.49,15,0,2.17
torbay,ca,35.79999999997497,-49.59999999993329,47.66,-52.73,-1,86,90,1.5
walvis bay,na,-24.840000000012964,8.600000000096486,-22.95,14.51,11,93,90,2.77
the valley,ai,24.619999999977196,-60.9599999999391,18.22,-63.06,26,78,75,4.1
hasaki,jp,32.77999999997557,149.1000000001684,35.73,140.83,17.06,77,75,5.1
xiaoweizhai,cn,26.039999999976914,108.88000000014779,26.23,107.51,21.19,82,88,1.67
najran,sa,18.899999999978334,47.66000000011647,17.54,44.22,29,32,75,0.52
willmar,us,45.51999999997304,-94.81999999995642,45.12,-95.04,4.73,93,1,1.97
nanortalik,gl,56.21999999997092,-37.07999999992688,60.14,-45.24,1.49,87,80,10.27
rocky mountain house,ca,51.87999999997177,-114.9199999999667,52.38,-114.92,0.54,74,88,1.32
antofagasta,cl,-22.780000000013374,-73.63999999994559,-23.65,-70.4,15,87,20,0.5
russell,nz,-32.920000000011356,176.5200000001824,-35.26,174.12,16.99,65,76,1.42
belmonte,br,-19.220000000014082,-25.819999999921123,-26.84,-53.58,18.84,91,8,2.12
alexandria,eg,29.87999999997615,29.080000000106963,31.2,29.89,19.39,82,0,2.52
la ronge,ca,64.81999999996918,-103.85999999996105,55.1,-105.3,1,90,90,4.6
denpasar,id,-11.580000000015602,114.24000000015053,-8.65,115.22,30.59,59,0,1.67
vestmanna,fo,68.39999999996849,-9.399999999912723,62.16,-7.17,7,93,92,8.7
vardo,no,85.4399999999651,34.500000000109736,70.37,31.11,0,100,75,5.1
seabra,br,-12.120000000015494,-42.11999999992946,-12.42,-41.77,17.89,91,88,4.67
rio grande,br,-32.56000000001143,-52.07999999993456,-32.03,-52.1,22.39,93,36,4.12
mar del plata,ar,-60.44000000000588,-32.63999999992461,-46.43,-67.52,8.79,71,24,7.52
